Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
ChronoBank,ICO,2/16/2017,  5.400.000 ,,,,,,,,ChronoBank.io is an ambitious and wide-ranging blockchain project,,,Web3,,,,
Staging Labs,Pre Seed,3/15/2023,  1.100.000 ,,,,,,,,,https://techcrunch.com/2023/03/15/staging-labs-crypto-nft-fraud-prevention/,CeFi,CeFi,Security,,,Security
Nuqtah,Seed,3/15/2023,,,,,,,,,,https://www.animocabrands.com/nuqtah-raises-seed-funding-from-animoca-brands-and-polygon,NFT,NFT,Marketplace,,,Marketplace
Code4rena,Private Token Sale,3/16/2023,  6.000.000 ,,,,,,,,,https://www.theblock.co/post/220140/paradigm-funds-auditing-dao-code4rena-with-6-million-token-purchase,Service,Service,Audit,Security,,Audit;Security
heartstocks,Undisclosed,3/16/2023,  5.300.000 ,,,,,,,,,https://startupcity.hamburg/news-events/news/heartstocks-raises-5-million-euros-in-new-financing-round,CeFi,CeFi,Asset Management,,,Asset Management
GigaStar,Seed,3/16/2023,  4.800.000 ,,,,,,,,,https://gigastar.io/,Service,Service,Fundraising,,,Fundraising
Soul Wallet,Seed,3/16/2023,  3.000.000 ,,,,,,,,,https://techcrunch.com/2023/03/16/soul-wallet-crypto-wallet/,Infrastructures,Infrastructures,Wallet,,,Wallet
TeleportDAO,Seed,3/16/2023,  2.500.000 ,,,,,,,,,https://twitter.com/Teleport_DAO/status/1636427525768482817?s=20,DeFi,DeFi,Marketplace,Cross-chain,,Marketplace;Cross-chain
Daniel Allan Entertainment,Seed,3/16/2023,  1.000.000 ,,,,,,,,,https://danielallan.mirror.xyz/WnT9Q1Q7U7-UTlUVXuwWx4MrAfkzggNIKipEs4jzPko,Service,Service,Music,,,Music
TradeTraders Island,Grant,3/16/2023,  150.000 ,,,,,,,,,https://forum.moonbeam.foundation/t/tradetraders-island-perpetual-futures-w-lower-liquidation-risk/623,DeFi,DeFi,Derivatives,Real-World Assets,,Derivatives;Real-World Assets
Tatsu Works,Seed,6/9/2022,  7.500.000 ,,,Yes,,,,"Solana,Ethereum",Metaverse Game Studio,https://twitter.com/HighCoinviction/status/1521859914561376257,Gaming,GameFi,Gaming,,,Gaming
ChronoBank,Equity Crowdsale,2/8/2017,  4.000.000 ,,,,,,,,ChronoBank.io is an ambitious and wide-ranging blockchain project,,,Web3,,,,
GoodGang Labs,Undisclosed,3/16/2023,,,,,,,,,,https://www.kedglobal.com/artificial-intelligence/newsView/ked202303160007,Service,Service,AI,Identity,Metaverse,AI;Identity;Metaverse
Cashlink,Series A,3/16/2023,,,,,,,,,,https://fintechnews.ch/funding/german-fintech-cashlink-closes-series-a-led-by-tx-ventures/59122/,Infrastructures,Infrastructures,Real-World Assets,,,Real-World Assets
Foresight News,Seed,3/17/2023,  2.000.000 ,,,,,,,,,https://www.finsmes.com/2023/03/foresight-news-raises-2m-in-seed-funding.html,Service,Service,Media,,,Media
LSDx Finance,Strategic,3/17/2023,  2.000.000 ,,,,,,,,,https://medium.com/@LSDxfinance/lsdx-received-a-strategic-investment-from-foresight-ventures-935490809838,DeFi,DeFi,Liquid Staking,,,Liquid Staking
Composable Corp,Seed,3/17/2023,  1.200.000 ,,,,,,,,,https://medium.com/@blueberryprotocol/team-behind-blueberry-raises-1-2m-to-enable-capital-efficient-borrowing-on-ethereum-f1aef0a25023,CeFi,CeFi,Lending,,,Lending
TripleC,Accelerator,3/17/2023,,,,,,,,,,https://coingape.com/press-releases/triplec-receives-funding-boost-from-kucoinlabs-for-gamefi-development/,Infrastructures,Infrastructures,Gaming,Launchpad,,Gaming;Launchpad
Sizzle.gg,Seed,5/13/2022,  5.000.000 ,,,Yes,,,,,Esports video-highlight platform,https://esportsinsider.com/2022/05/sizzle-gg-closes-5m-funding-round,Gaming,GameFi,Gaming,,,Gaming
Chrono.Tech,Undisclosed,3/17/2023,,,,,,,,,,https://twitter.com/ChronotechNews/status/1636685079408697345,Service,Service,Jobs,,,Jobs
Flying Sheep Studios,Grant,3/19/2023,  1.200.000 ,,,,,,,,,https://venturebeat.com/games/flying-sheep-studios-gets-german-government-funding-for-metaverse-game/,Service,Service,Gaming,,,Gaming
Pixelcraft Studios,Public Token Sale,3/20/2023,  30.000.000 ,,,,,,,,,https://www.coindesk.com/web3/2023/03/20/creators-behind-web3-game-aavegotchi-raise-30m-in-multi-year-long-token-sale/,Service,Service,Gaming,,,Gaming
Synthetix,Private Token Sale,3/20/2023,  15.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/03/20/market-maker-dwf-labs-invests-20m-in-defi-liquidity-protocol-synthetix/,DeFi,DeFi,Derivatives,Synthetics,,Derivatives;Synthetics
Metatime,Seed,3/20/2023,  11.000.000 ,,,,,,,,,https://www.theblock.co/post/221216/turkeys-metatime-raises-11-million-in-seed-funding-amid-rising-crypto-adoption,CeFi,CeFi,CEX,Wallet,Marketplace,CEX;Wallet;Marketplace
eToro,Undisclosed,3/21/2023,  250.000.000 ,,,,,,,,,https://techcrunch.com/2023/03/21/after-calling-off-spac-fintech-etoro-secures-250m-at-a-3-5b-valuation/,CeFi,CeFi,CEX,Trading,,CEX;Trading
CCGames,Seed,3/21/2023,  40.000.000 ,,,,,,,,,https://www.ccpgames.com/news/2023/ccp-games-has-secured-usd40m-led-by-andreessen-horowitz-for-an-innovative,Service,Service,Gaming,,,Gaming
tomi,Strategic,3/21/2023,  40.000.000 ,,,,,,,,,"https://tomi.com/blog/we-have-raises-$40m-to-build-a-decentralized,-surveillance-free-internet-alternative?id=1044",Infrastructures,Infrastructures,Layer-1,Payment,,Layer-1;Payment
Gold Bits Coin,ICO,2/1/2017,  50.000.000 ,,,,,,,,Gold Bits Coin is a mode of payments for online shopping and at merchants for goods and services.GBC is the Modern Day Gold of this industry,,,Web3,,,,
Auros,Debt Financing,3/21/2023,  17.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/03/21/crypto-trading-firm-auros-secures-17m-investment-as-it-recovers-from-ftx-woes/,Service,Service,Liquidity Provision,,,Liquidity Provision
Gryfyn,Undisclosed,3/21/2023,  7.500.000 ,,,,,,,,,https://www.animocabrands.com/animoca-brands-and-hex-trust-launch-gryfyn-nft-centric-custodial-wallet-joint-venture,Infrastructures,Infrastructures,Wallet,,,Wallet
Turnkey,Seed,3/21/2023,  7.500.000 ,,,,,,,,,https://mirror.xyz/turnkeyhq.eth/In_BsJCwjly--D1zOoX5s3kqQ9XGjU9FUH8HQ5OUKc4,Service,Service,Wallet,Asset Management,Custody,Wallet;Asset Management;Custody
CrossX,Seed,3/21/2023,  6.350.000 ,,,,,,,,,https://www.theblock.co/post/221577/two-sigma-flow-traders-and-laser-digital-back-crypto-trading-venue-crossx,DeFi,DeFi,Trading,,,Trading
Unbound Nation,Seed,5/8/2022,  3.000.000 ,,,Yes,,,,Ethereum,Platform for lending and borrowing gaming NFTs,https://nordic9.com/news/unbound-nation-announced-closing-equity-funding-to-3-million-backed-by-greenfield-one-blackpool-bln-et-al/,Gaming,GameFi,Gaming,,,Gaming
carbonABLE,Seed,3/21/2023,  1.200.000 ,,,,,,,,,https://www.coindesk.com/business/2023/03/21/ethereum-based-carbon-tracker-carbonable-raises-12m-to-tackle-greenwashing/,Service,Service,Carbon Credit,,,Carbon Credit
zkSig,Accelerator,3/21/2023,,,,,,,,,,https://outlierventures.io/article/outlier-ventures-announces-first-cohort-for-zero-knowledge-base-camp/,Infrastructures,Infrastructures,Privacy,Zk Proof,,Privacy;Zk Proof
Rádius,Accelerator,3/21/2023,,,,,,,,,,https://outlierventures.io/article/outlier-ventures-announces-first-cohort-for-zero-knowledge-base-camp/,Infrastructures,Infrastructures,Validator,Operation,,Validator;Operation
DataHive,Accelerator,3/21/2023,,,,,,,,,,https://outlierventures.io/article/outlier-ventures-announces-first-cohort-for-zero-knowledge-base-camp/,Service,Service,Identity,Data Service,,Identity;Data Service
Cambridge Blockchain,Convertible note issuance,1/31/2017,  1.790.000 ,,,,,,,,Cambridge Blockchain develops blockchain-based identity management and compliance software solutions for financial institutions.,,Digital Identity,Web3,,,,
Syndr Protocol,Accelerator,3/21/2023,,,,,,,,,,https://outlierventures.io/outlier-ventures-announces-first-cohort-for-zero-knowledge-base-camp/,CeFi,CeFi,CEX,Derivatives,,CEX;Derivatives
Truffles,Accelerator,3/21/2023,,,,,,,,,,https://outlierventures.io/article/outlier-ventures-announces-first-cohort-for-zero-knowledge-base-camp/,CeFi,CeFi,NFT,Asset Management,,NFT;Asset Management
Ejara,Strategic,3/21/2023,,,,,,,,,,https://www.wearetech.africa/en/fils-uk/news/finance/cameroon-ejara-secures-strategic-investment-for-expansion,CeFi,CeFi,CEX,,,CEX
Dynasty Studios,Strategic,3/21/2023,,,,,,,,,,https://aithority.com/technology/web3-ventures-provides-update-on-strategic-investments/,Service,Service,Gaming,,,Gaming
BitKeep,Undisclosed,3/22/2023,  30.000.000 ,,,,,,,,,https://www.theblock.co/post/221903/bitget-bitkeep-acquisition-investment,Infrastructures,Infrastructures,Wallet,,,Wallet
Aspecta,Seed,3/22/2023,  3.500.000 ,,,,,,,,,https://twitter.com/aspecta_id/status/1638400488386498561?s=20,Infrastructures,Infrastructures,AI,Identity,,AI;Identity
Klein Finance,Seed,5/5/2022,  1.000.000 ,0,,Yes,,,,,An efficient decentralized,,,GameFi,Guild,,,Guild
Radix DLT,Private Token Sale,3/23/2023,  10.000.000 ,,,,,,,,,https://blockchainreporter.net/radix-closes-successful-10m-private-funding-round-led-by-dwf-labs/,Infrastructures,Infrastructures,Tooling,,,Tooling
TradeTogether,Seed,3/23/2023,  2.000.000 ,,,,,,,,,https://www.prnewswire.com/apac/news-releases/orbit-startups-leads-2m-seed-round-into-web3-investment-platform-tradetogether-301778838.html,DeFi,DeFi,Trading,Asset Management,,Trading;Asset Management
Bitfury Group,,1/25/2017,  30.000.000 ,,,,,,,,Bitfury is the leading full service bitcoin and blockchain technology company.,,,Web3,,,,
Davos Protocol,Undisclosed,3/23/2023,,,,,,,,,,https://twitter.com/Davos_Protocol/status/1638913955568537600,DeFi,DeFi,Stablecoins,Liquid Staking,,Stablecoins;Liquid Staking
Versa,Seed,3/23/2023,,,,,,,,,,https://twitter.com/fslweb3/status/1638791573143175168,Infrastructures,Infrastructures,Wallet,,,Wallet
Particle Network,Seed,3/24/2023,  7.000.000 ,,,,,,,,,https://www.theblock.co/post/221975/particle-network-raise,Infrastructures,Infrastructures,Tooling,,,Tooling
Dylibso,Seed,3/24/2023,  6.600.000 ,,,,,,,,,https://www.businesswire.com/news/home/20230324005106/en/Dylibso-Secures-6.6-Million-in-Seed-Funding-to-Take-WebAssembly-to-Production,Infrastructures,Infrastructures,Tooling,,,Tooling
Hadean,Extended Series A,3/24/2023,  5.000.000 ,,,,,,,,,https://hadean.com/news/hadean-raises-an-additional-5m-to-supercharge-the-metaverse/,Service,Service,Metaverse,,,Metaverse
Snackclub,Seed,5/4/2022,  9.000.000 ,,,Yes,,,,,Decentralized Autonomous Organization (DAO) that changes how people consume games and the internet today,https://twitter.com/VentureBeat/status/1521852460222066689?s=20,Gaming,GameFi,Gaming,,,Gaming
ENWayback Machine,Grant,3/24/2023,,,,,,,,,,https://ensgrants.xyz/rounds/20/proposals/450,Infrastructures,Infrastructures,Identity,,,Identity
Pairwise,Grant,3/24/2023,,,,,,,,,,https://ensgrants.xyz/rounds/21/proposals/472,Infrastructures,Infrastructures,DAO,,,DAO
Davos Protocol,Undisclosed,3/24/2023,,,,,,,,,,https://twitter.com/Davos_Protocol/status/1639288033257168897,DeFi,DeFi,Stablecoins,Liquid Staking,,Stablecoins;Liquid Staking
Cega,Extended Seed,3/27/2023,  5.000.000 ,,,,,,,,,https://cegafi.medium.com/cega-fundraising-tops-9-3m-in-total-to-accelerate-defi-exotic-structured-products-on-chain-93f86457413,DeFi,DeFi,Derivatives,Options,,Derivatives;Options
EigenLabs,Series A,3/28/2023,  50.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/03/28/staking-protocol-eigenlayer-raises-50m-amid-crypto-winter/,DeFi,DeFi,Liquid Staking,,,Liquid Staking
SKUx,Series A,3/28/2023,  11.000.000 ,,,,,,,,,https://www.businesswire.com/news/home/20230328005150/en/SKUx-Raises-11-Million-Series-A,Infrastructures,Infrastructures,Payment,,,Payment
Qoala,Extended Series B,3/28/2023,  7.500.000 ,,,,,,,,,https://fintechnews.sg/71027/indonesia/indonesian-insurtech-qoala-extends-series-b-with-us7-5-million-fundraise/,CeFi,CeFi,Insurance,,,Insurance
Conduit,Seed,3/28/2023,  7.000.000 ,,,,,,,,,https://conduit.xyz/blog/introducing-conduit,Infrastructures,Infrastructures,Tooling,,,Tooling
FedML,Pre Seed,3/28/2023,  6.000.000 ,,,,,,,,,https://www.finsmes.com/2023/03/fedml-raises-6m-in-funding.html,Infrastructures,Infrastructures,Tooling,,,Tooling
Orderly Network,Strategic,3/28/2023,,,,,,,,,,https://www.theblock.co/post/223212/orderly-network-raises-fresh-funding-at-a-flat-token-valuation-of-200-million,DeFi,DeFi,DEX,Trading,,DEX;Trading
BFMeta,Pre Series A,3/28/2023,,,,,,,,,,https://www.globenewswire.com/news-release/2023/03/28/2636167/0/en/BFMeta-hits-1B-valuation-finalizing-a-Pre-A-investment-round-led-by-a-famous-UK-based-investment-bank.html,Infrastructures,Infrastructures,Metaverse,Cross-chain,,Metaverse;Cross-chain
Fetch.ai,Strategic,3/29/2023,  40.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/03/29/ai-focused-crypto-protocol-fetchai-raises-40m-to-deploy-decentralized-machine-learning/,Infrastructures,Infrastructures,AI,Tooling,,AI;Tooling
True I/O,Series A,3/29/2023,  9.000.000 ,,,,,,,,,https://www.prnewswire.com/news-releases/total-network-services-tns-secures-9m-in-series-a-funding-301784126.html,Infrastructures,Infrastructures,Management Software,Logistic,Security,Management Software;Logistic;Security
Econia Labs,Seed,3/29/2023,  6.500.000 ,,,,,,,,,https://www.coindesk.com/business/2023/03/29/dragonfly-leads-65m-round-for-aptos-protocol-econia-labs/,DeFi,DeFi,CEX,Trading,,CEX;Trading
Vitraya,Series A,3/29/2023,  5.000.000 ,,,,,,,,,https://startup.siliconindia.com/startup-funding/vitraya-technologies-raises-5-m-from-startupxseed-others-nwid-37954.html,CeFi,CeFi,Health,Payment,AI,Health;Payment;AI
Getaverse,Undisclosed,3/29/2023,,,,,,,,,,https://twitter.com/GetaverseGlobal/status/1641050662489186304,Infrastructures,Infrastructures,Gaming,Metaverse,Identity,Gaming;Metaverse;Identity
NULS,Strategic,3/29/2023,,,,,,,,,,https://nuls.medium.com/nuls-dwf-labs-strategic-investment-partnership-announcement-b01544e93fec,Infrastructures,Infrastructures,Layer-1,,,Layer-1
Ledger,Extended Series C,3/30/2023,  109.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/03/30/crypto-hardware-wallet-maker-ledger-raises-most-of-109m-round-bloomberg/,Infrastructures,Infrastructures,Wallet,Hardware,,Wallet;Hardware
TradeWindow,Strategic,3/30/2023,  7.000.000 ,,,,,,,,,https://www.prnewswire.com/news-releases/nchain-to-take-a-strategic-stake-in-tradewindow-301786267.html,DeFi,DeFi,Trading,,,Trading
Muverse,Seed,3/30/2023,  6.000.000 ,,,,,,,,,https://www.globenewswire.com/news-release/2023/03/30/2637651/0/en/Muverse-Raises-6-Million-in-Seed-Round-Fundraising.html,DeFi,DeFi,Music,NFT,Marketplace,Music;NFT;Marketplace
apCoin,Strategic,3/30/2023,  5.000.000 ,,,,,,,,,https://medium.com/apmcoin/ann-apm-coin-x-dwf-labs-2d3ec8010a91,Infrastructures,Infrastructures,Management Software,Payment,,Management Software;Payment
Coadjute,Undisclosed,3/30/2023,  4.900.000 ,,,,,,,,,https://tech.eu/2023/03/30/coadjute-raises-ps4-million-as-it-grows-it-property-network-on-the-blockchain/,DeFi,DeFi,Real-World Assets,Marketplace,,Real-World Assets;Marketplace
Polytrade,Seed,3/30/2023,  3.800.000 ,,,,,,,,,https://techcrunch.com/2023/03/30/web3-protocol-polytrade-raises-3-8m-to-improve-global-trade/,DeFi,DeFi,Real-World Assets,Trading,,Real-World Assets;Trading
Neufund,Seed,1/17/2017,  2.250.000 ,,,,,,,,Neufund is a fintech startup that connects innovative companies seeking capital with progressive investors.,,,Web3,,,,
PoseiSwap,Strategic,3/30/2023,  1.500.000 ,,,,,,,,,https://twitter.com/poseiswap/status/1641433216400883714?s=20,DeFi,DeFi,DEX,Trading,Liquidity Provision,DEX;Trading;Liquidity Provision
Mobee,Undisclosed,3/30/2023,,,,,,,,,,https://www.techinasia.com/1982-ventures-backs-new-id-crypto-exchange-platform,CeFi,CeFi,CEX,Trading,Asset Management,CEX;Trading;Asset Management
Swissborg,Series A,3/31/2023,  23.000.000 ,,,,,,,,,https://www.venturelab.swiss/SwissBorg-raises-USD-23-million-in-community-funding-round,Service,Service,Asset Management,,,Asset Management
Ensemble,Seed,3/31/2023,  1.000.000 ,,,,,,,,,https://twitter.com/ensembledotart/status/1641784413678649346?s=20,NFT,NFT,Art,Marketplace,,Art;Marketplace
Granary Finance,Public Token Sale,4/1/2023,  5.000.000 ,,,,,,,,,https://blockworks.co/news/granary-finance-defi-lending,DeFi,DeFi,Lending,,,Lending
Sector Finance,Public Token Sale,4/2/2023,  2.500.000 ,,,,,,,,,https://twitter.com/CamelotDEX/status/1642574366721409028?s=20,DeFi,DeFi,Yield,,,Yield
LI.FI,Series A,4/3/2023,  17.500.000 ,,,,,,,,,https://www.prnewswire.com/news-releases/lifi-raises-17-5-million-series-a-to-help-traditional-finance-build-on-defi-301788542.html,Infrastructures,Infrastructures,Cross-chain,DEX,,Cross-chain;DEX
Halo Wallet,Undisclosed,4/3/2023,,,,,,,,,,https://www.businesswire.com/news/home/20230403005395/en/Halo-Wallet-Emerges-as-the-Ultimate-SocialFi-Ecosystem-With-a-Fresh-Round-of-Funding-and-Rebranding-From-KuCoin-Wallet,Infrastructures,Infrastructures,Wallet,,,Wallet
LayerZero,Series B,4/4/2023,  120.000.000 ,,,,,,,,,https://www.theblock.co/post/224762/layerzero-series-b,Infrastructures,Infrastructures,Cross-chain,Bridge,,Cross-chain;Bridge
Polyhedra Network,Pre Series A,4/4/2023,  15.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/04/polychain-leads-15m-funding-round-for-crypto-startup-polyhedra-network/,Infrastructures,Infrastructures,Zk Proof,,,Zk Proof
Delphi Labs,Undisclosed,4/4/2023,  13.500.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/04/delphi-labs-raises-135m-for-web3-accelerator/,Service,Service,,,,
Bitget,Strategic,4/4/2023,  10.000.000 ,,,,,,,,,https://fortune.com/crypto/2023/04/04/crypto-trading-platform-bitget-gets-10-million-funding-round-from-dragonfly/,Service,Service,Trading,Derivatives,,Trading;Derivatives
Alchemy Pay,Undisclosed,4/4/2023,  10.000.000 ,,,,,,,,,https://www.prnewswire.com/news-releases/alchemy-pay-partners-with-dwf-labs-to-secure-10-million-funding-at-a-valuation-of-400-million-301787971.html,Infrastructures,Infrastructures,Payment,,,Payment
Nibiru Chain,Seed,4/4/2023,  8.500.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/04/defi-hub-nibiru-chain-valued-at-100m-after-85m-seed-funding-round/,DeFi,DeFi,CEX,Liquidity Provision,,CEX;Liquidity Provision
Astria,Seed,4/4/2023,  5.500.000 ,,,,,,,,,https://blog.astria.org/introducing-astria/,Infrastructures,Infrastructures,Validator,Operation,,Validator;Operation
Satsuma,Seed,4/4/2023,  5.000.000 ,,,,,,,,,https://www.theblock.co/post/224834/satsuma-seed-funding,Infrastructures,Infrastructures,Index,,,Index
Bitcoin.org,Seed,1/2/2017,  1.000.000 ,,,,,,,,Bitcoin.org is an informational site dedicated to help educate and facilitate the understanding of bitcoin and how to buy it.,,,Web3,,,,
Ecosapiens,Seed,4/4/2023,  3.500.000 ,,,,,,,,,https://www.coindesk.com/web3/2023/04/05/carbon-backed-nft-collection-ecosapiens-raises-35m/,NFT,NFT,Collectibles,Carbon Credit,,Collectibles;Carbon Credit
Franklin,Seed,4/4/2023,  2.900.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/04/crypto-payroll-company-franklin-closes-29m-seed-round/,Infrastructures,Infrastructures,Payment,Management Software,,Payment;Management Software
Roseon Finance,Strategic,4/4/2023,  2.500.000 ,,,,,,,,,https://www.binance.com/en/feed/post/381363,DeFi,DeFi,Yield,,,Yield
ENVision,Undisclosed,4/4/2023,  2.000.000 ,,,,,,,,,https://twitter.com/ensvision/status/1643214583308472321?s=20,Infrastructures,Infrastructures,Marketplace,Identity,,Marketplace;Identity
Coinweb,Private Token Sale,4/4/2023,  2.000.000 ,,,,,,,,,https://finance.yahoo.com/news/coinweb-closed-2-million-fundraising-124208210.html,Infrastructures,Infrastructures,Layer-2,Cross-chain,Computing,Layer-2;Cross-chain;Computing
Megaton Finance,Seed,4/4/2023,  1.500.000 ,,,,,,,,,https://www.finsmes.com/2023/04/megaton-finance-raises-1-5m-in-seed-funding.html,DeFi,DeFi,Liquidity Provision,DEX,,Liquidity Provision;DEX
Kryptview,Pre Seed,4/4/2023,  1.500.000 ,,,,,,,,,https://www.prnewswire.com/news-releases/following-a-1-5m-pre-seed-funding-kryptview-releases-the-first-power-search-tool-for-crypto-projects-301788573.html,Service,Service,Data Service,,,Data Service
TOPGOAL,Undisclosed,4/4/2023,,,,,,,,,,https://medium.com/@TopGoal_NFT/web3-football-metaverse-topgoal-secures-millions-in-investment-from-dwf-labs-124afce4f9a4,NFT,NFT,Collectibles,Sports,Social Network,Collectibles;Sports;Social Network
M^ZERO,Seed,4/5/2023,  22.500.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/05/next-generation-defi-platform-mzero-emerges-from-stealth-with-225m-funding-round/,Infrastructures,Infrastructures,Payment,,,Payment
Playmint,Seed,4/27/2022,  4.000.000 ,,,Yes,,,,,Web3 MMO,https://www.playmint.com/news/playmint-seed-round,Gaming,GameFi,Gaming,,,Gaming
Finst,Seed,4/5/2023,  4.400.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/05/deribit-parent-company-leads-44m-seed-funding-round-into-dutch-crypto-exchange-finst/,DeFi,DeFi,Derivatives,CEX,,Derivatives;CEX
Patientory,Undisclosed,4/5/2023,  1.500.000 ,,,,,,,,,https://www.axios.com/pro/health-tech-deals/2023/04/05/patientory-1m-raise-app,Service,Service,Health,Legal,,Health;Legal
Mutiny Wallet,Pre Seed,4/5/2023,  300.000 ,,,,,,,,,https://blog.mutinywallet.com/introducing-mutiny/,Infrastructures,Infrastructures,Wallet,,,Wallet
Safeheron,Undisclosed,4/5/2023,,,,,,,,,,https://blog.safeheron.com/blog/product-and-solution/media-reports/hashkey-capital-and-bixin-ventures-co-led-safeheron-pre-a+-round,Infrastructures,Infrastructures,Computing,Wallet,,Computing;Wallet
FlexSecure,Grant,4/5/2023,,,,,,,,,,https://docs.google.com/spreadsheets/d/1LP99k78LAdnQivhADECQh1hgi1s5XWBzf8PPXZgah4s/edit#gid=1779147459,Infrastructures,Infrastructures,Security,,,Security
Cypherock,Seed,12/21/2022,  1.000.000 ,,,,,,,,Hardware Wallet,https://twitter.com/decryptmedia/status/1605653962018983956,,Infrastructures,Hardware,Wallet,,Hardware;Wallet
Ebunker Staking Service,Grant,4/5/2023,,,,,,,,,,https://forum.ssv.network/t/ssv-x-ebunker-grant-proposal-non-custodial-eth-staking-service/1032,Service,Service,Liquid Staking,,,Liquid Staking
YGG SEA,Strategic,4/27/2022,  500.000 ,0,,Yes,,,,,"The first subDAO of Yield Guild Games, a decentralized autonomous organization for acquiring and managing NFTs used in the metaverse",,,GameFi,Gaming,Guild,,Gaming;Guild
IOST,Strategic,4/6/2023,  10.000.000 ,,,,,,,,,https://www.globenewswire.com/en/news-release/2023/04/04/2640621/0/en/BitValue-Capital-Invests-10-Million-in-IOST-to-Advance-Web3-and-AI-Integration.html,Infrastructures,Infrastructures,AI,Layer-1,,AI;Layer-1
FiNANCiE,Undisclosed,4/6/2023,  8.200.000 ,,,,,,,,,https://financie-fnct.medium.com/financie-raised-a-total-of-jpy-1-1-89b31f110471,Service,Service,NFT,,,NFT
May.Social,Undisclosed,4/6/2023,  6.000.000 ,,,,,,,,,https://www.businesswire.com/news/home/20230406005225/en/Social-Future-Raised-6M-to-Build-AI-Driven-Virtual-Social-Platform,NFT,NFT,AI,Metaverse,Social Network,AI;Metaverse;Social Network
Lore,Strategic,4/6/2023,  4.000.000 ,,,,,,,,,https://www.coindesk.com/business/2023/04/06/multicoin-leads-4m-strategic-round-for-web3-co-ownership-platform-lore/,NFT,NFT,Marketplace,Social Network,Collectibles,Marketplace;Social Network;Collectibles
Lumoz,Seed,4/6/2023,  4.000.000 ,,,,,,,,,https://cointelegraph.com/press-releases/opside-secures-4m-seed-round-to-expand-its-zk-rollup-as-a-service-platform,Infrastructures,Infrastructures,Zk Rollups,Tooling,,Zk Rollups;Tooling
Golden Technology,Angel Round,1/1/2017,  1.710.000 ,,,,,,,,Golden Technology is a big data service company offering electronic invoice solutions using blockchain technology.,,,Web3,,,,
Arken Finance,Public Token Sale,4/6/2023,  2.300.000 ,,,,,,,,,https://blog.arken.finance/important-announcement-6-april-2023-f1f0da3c5d34,DeFi,DeFi,DEX,Cross-chain,Trading,DEX;Cross-chain;Trading
Steer Protocol,Seed,4/6/2023,  1.500.000 ,,,,,,,,,https://www.einnews.com/pr_news/626132587/steer-protocol-raises-1-5m-in-seed-funding-to-revolutionize-off-chain-computing-and-liquidity-management?,Infrastructures,Infrastructures,Computing,Tooling,,Computing;Tooling
Blast Royale,Seed,4/13/2022,  5.000.000 ,,,No,Đã mint NFT,Yes,https://x.com/blastroyale,Polygon,Battle Royale Game,https://twitter.com/blastroyale/status/1514227496618758149?s=20,Gaming,GameFi,Gaming,,,Gaming
Magik Labs,Accelerator,4/6/2023,  500.000 ,,,,,,,,,https://inc42.com/buzz/meet-the-12-indian-startups-in-the-y-combinators-winter-2023-cohort/,Infrastructures,Infrastructures,Payment,Legal,,Payment;Legal
Fanton,Strategic,11/2/2023,,,,No,Yes,Yes,https://x.com/FantasyFanton,,,https://www.fan-ton.com/producthunt,Gamefi,GameFi,Gaming,NFT,Sports,Gaming;NFT;Sports
Blockvision,Grant,4/6/2023,,,,,,,,,,https://forum.ssv.network/t/ssv-x-blockvision-grant-proposal-restaking-protocol/1029,DeFi,DeFi,Liquid Staking,Yield,,Liquid Staking;Yield
Huddle01,Seed,4/7/2023,  2.800.000 ,,,,,,,,,https://medium.com/@ayush_16120/building-the-future-of-real-time-communication-c7291296a82c,Infrastructures,Infrastructures,Communication,Tooling,Social Network,Communication;Tooling;Social Network
Ubox,Seed,4/8/2023,  7.000.000 ,,,,,,,,,https://medium.com/@ubox_io/50-million-valuation-7-million-in-seed-funding-a-comprehensive-guide-to-understanding-ubox-e1d01efa36d,NFT,NFT,Marketplace,,,Marketplace
Protopool,Grant,4/8/2023,,,,,,,,,,https://forum.ssv.network/t/ssv-x-protopool-grant-proposal-dvt-as-a-service/986,Infrastructures,Infrastructures,Hardware,Mining,Liquid Staking,Hardware;Mining;Liquid Staking
Fractal,Seed,4/1/2022,  35.000.000 ,,,Yes,,,,"Solana,Ethereum,Polygon",NFT marketplace for gamers,https://fractal.medium.com/fractal-raises-35-million-dollar-seed-round-9b7473399b72,Gaming,GameFi,Gaming,,,Gaming
